Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
conn-bench-sonar-mines-rocks.csv,CL_s,6,"{'n_estimators': 40, 'max_depth': 25, 'criterion': 'gini'}",0.8095238095238095,0.625,0.375,0.8333333333333334,0.8846153846153846,0.8356351981351982,1.564077615737915,0.33339999970935635
conn-bench-sonar-mines-rocks.csv,CL_s,7,"{'n_estimators': 20, 'max_depth': 12, 'criterion': 'gini'}",0.9523809523809523,1.0,0.0,0.9,0.9861111111111112,0.9765432098765432,1.5551764965057373,0.09619622003464472
conn-bench-sonar-mines-rocks.csv,CL_s,8,"{'n_estimators': 30, 'max_depth': 16, 'criterion': 'entropy'}",0.7142857142857143,0.5454545454545454,0.4545454545454546,0.8571428571428571,0.8454545454545455,0.8639652014652015,1.7876300811767578,0.14393670218331472
conn-bench-sonar-mines-rocks.csv,CL_s,9,"{'n_estimators': 30, 'max_depth': 27, 'criterion': 'entropy'}",0.9,0.8,0.19999999999999996,1.0,0.98,0.9666666666666667,1.737351894378662,0.31478404998779297
conn-bench-sonar-mines-rocks.csv,CL_s,10,"{'n_estimators': 30, 'max_depth': 27, 'criterion': 'entropy'}",0.65,0.45454545454545453,0.5454545454545454,0.8333333333333334,0.8131313131313131,0.83711137347501,1.6641600131988525,0.19937753677368164
heart-hungarian.csv,CL_s,1,"{'n_estimators': 30, 'max_depth': 16, 'criterion': 'entropy'}",0.8,0.7272727272727273,0.2727272727272727,0.7272727272727273,0.8492822966507177,0.7759070222706588,1.3943305015563965,0.2787669499715169
heart-hungarian.csv,CL_s,2,"{'n_estimators': 30, 'max_depth': 37, 'criterion': 'gini'}",0.9,0.8,0.19999999999999996,0.8888888888888888,0.8750000000000001,0.8803418803418802,1.4239416122436523,0.17256736755371094
heart-hungarian.csv,CL_s,3,"{'n_estimators': 40, 'max_depth': 11, 'criterion': 'entropy'}",0.8666666666666667,0.7692307692307693,0.23076923076923073,0.9090909090909091,0.9095022624434389,0.9188519813519813,1.4770922660827637,0.13298988342285156
heart-hungarian.csv,CL_s,4,"{'n_estimators': 40, 'max_depth': 11, 'criterion': 'entropy'}",0.8666666666666667,0.8,0.19999999999999996,0.8,0.89,0.8280555555555555,1.3836724758148193,0.1329660415649414
heart-hungarian.csv,CL_s,5,"{'n_estimators': 30, 'max_depth': 37, 'criterion': 'gini'}",0.7241379310344828,0.375,0.625,0.5,0.6964285714285714,0.49700981489774587,1.3836755752563477,0.13027520015321928
heart-hungarian.csv,CL_s,6,"{'n_estimators': 40, 'max_depth': 45, 'criterion': 'gini'}",0.7586206896551724,0.6428571428571429,0.3571428571428571,0.8181818181818182,0.9333333333333332,0.9296797565179917,1.5544447898864746,0.19384252613988417
heart-hungarian.csv,CL_s,7,"{'n_estimators': 30, 'max_depth': 37, 'criterion': 'gini'}",0.8275862068965517,0.7777777777777778,0.2222222222222222,0.7,0.9111111111111111,0.8468253968253968,1.3542020320892334,0.13754285615066
heart-hungarian.csv,CL_s,8,"{'n_estimators': 40, 'max_depth': 11, 'criterion': 'entropy'}",0.896551724137931,0.8,0.19999999999999996,0.8888888888888888,0.9894736842105264,0.9809090909090908,1.4081776142120361,0.17190801686254042
heart-hungarian.csv,CL_s,9,"{'n_estimators': 40, 'max_depth': 45, 'criterion': 'gini'}",0.7931034482758621,0.4444444444444444,0.5555555555555556,0.8,0.8222222222222222,0.7430014430014431,1.389815330505371,0.20971791497592268
heart-hungarian.csv,CL_s,10,"{'n_estimators': 40, 'max_depth': 11, 'criterion': 'entropy'}",0.7241379310344828,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.8063725490196079,0.7530940063834802,1.371933937072754,0.17142295837402344
hepatitis.csv,CL_s,1,"{'n_estimators': 10, 'max_depth': 26, 'criterion': 'entropy'}",0.75,0.8571428571428571,0.1428571428571429,0.8571428571428571,0.7678571428571428,0.9581959706959706,1.3281009197235107,0.061631202697753906
hepatitis.csv,CL_s,2,"{'n_estimators': 40, 'max_depth': 25, 'criterion': 'gini'}",1.0,1.0,0.0,1.0,1.0,1.0,1.387925624847412,0.24932622909545898
hepatitis.csv,CL_s,3,"{'n_estimators': 40, 'max_depth': 11, 'criterion': 'entropy'}",0.875,0.9333333333333333,0.06666666666666665,0.9333333333333333,0.9333333333333333,0.9958333333333333,1.3263895511627197,0.18256902694702148
hepatitis.csv,CL_s,4,"{'n_estimators': 10, 'max_depth': 31, 'criterion': 'entropy'}",0.8125,0.8461538461538461,0.15384615384615385,0.9166666666666666,0.8205128205128206,0.9583333333333333,1.2954633235931396,0.06033480167388916
hepatitis.csv,CL_s,5,"{'n_estimators': 40, 'max_depth': 45, 'criterion': 'gini'}",0.75,0.9090909090909091,0.09090909090909094,0.7692307692307693,0.8454545454545455,0.9372474747474748,1.3409004211425781,0.3117024898529053
hepatitis.csv,CL_s,6,"{'n_estimators': 30, 'max_depth': 27, 'criterion': 'entropy'}",0.8666666666666667,1.0,0.0,0.8461538461538461,0.9886363636363636,0.9924242424242424,1.3779816627502441,0.1995245615641276
hepatitis.csv,CL_s,7,"{'n_estimators': 10, 'max_depth': 26, 'criterion': 'entropy'}",0.7333333333333333,0.8333333333333334,0.16666666666666663,0.8333333333333334,0.7500000000000001,0.9318061568061569,1.2946233749389648,0.08502006530761719
hepatitis.csv,CL_s,8,"{'n_estimators': 40, 'max_depth': 11, 'criterion': 'entropy'}",0.8,1.0,0.0,0.7857142857142857,1.0,1.0,1.3309822082519531,0.33443768819173175
